Oracle,Family,Feature,Reason
MATLAB built-ins,GLCM,GLCM_DIFAVE_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_DIFENTRO,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_DIFENTRO_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_DIFVAR,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_DIFVAR_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_DIS,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_DIS_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_ENTROPY,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_ENTROPY_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_HOM2,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_ID,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_ID_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_IDN,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_IDN_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_IDM,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_IDM_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_IDMN,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_IDMN_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_INFOMEAS1,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_INFOMEAS1_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_INFOMEAS2,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_INFOMEAS2_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_IV,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_IV_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_JAVE,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_JAVE_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_JE,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_JE_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_JMAX,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_JMAX_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_JVAR,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_JVAR_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_SUMAVERAGE,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_SUMAVERAGE_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_SUMENTROPY,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_SUMENTROPY_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_SUMVARIANCE,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_SUMVARIANCE_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_VARIANCE,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_VARIANCE_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
