family,feature,expected,actual,abs_diff,rel_diff_pct,tolerance_pct,status,oracle_feature,image_source,settings,note
Neighbor / touching features,NUM_NEIGHBORS[label=2],1.0,1.0,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors NumberOfNeighbors_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent-neighbor count. This supersedes the earlier Centrosome mismatch for the tracker because it matches Nyxus' fixture convention.
Neighbor / touching features,NUM_NEIGHBORS[label=3],1.0,1.0,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors NumberOfNeighbors_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent-neighbor count. This supersedes the earlier Centrosome mismatch for the tracker because it matches Nyxus' fixture convention.
Neighbor / touching features,NUM_NEIGHBORS[label=4],1.0,1.0,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors NumberOfNeighbors_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent-neighbor count. This supersedes the earlier Centrosome mismatch for the tracker because it matches Nyxus' fixture convention.
Neighbor / touching features,NUM_NEIGHBORS[label=5],1.0,1.0,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors NumberOfNeighbors_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent-neighbor count. This supersedes the earlier Centrosome mismatch for the tracker because it matches Nyxus' fixture convention.
Neighbor / touching features,PERCENT_TOUCHING[label=1],87.5,100.0,12.5,14.285714285714286,5.0,MISMATCH,cp_measure.measureobjectneighbors PercentTouching_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent percent-touching measurement; convention differs from Nyxus on this fixture.
Neighbor / touching features,PERCENT_TOUCHING[label=2],33.3333333333333,50.0,16.6666666666667,50.00000000000015,5.0,MISMATCH,cp_measure.measureobjectneighbors PercentTouching_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent percent-touching measurement; convention differs from Nyxus on this fixture.
Neighbor / touching features,PERCENT_TOUCHING[label=3],66.6666666666667,50.0,16.6666666666667,25.000000000000036,5.0,MISMATCH,cp_measure.measureobjectneighbors PercentTouching_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent percent-touching measurement; convention differs from Nyxus on this fixture.
Neighbor / touching features,PERCENT_TOUCHING[label=4],50.0,50.0,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors PercentTouching_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent percent-touching measurement; convention differs from Nyxus on this fixture.
Neighbor / touching features,PERCENT_TOUCHING[label=5],33.3333333333333,50.0,16.6666666666667,50.00000000000015,5.0,MISMATCH,cp_measure.measureobjectneighbors PercentTouching_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent percent-touching measurement; convention differs from Nyxus on this fixture.
Neighbor / touching features,CLOSEST_NEIGHBOR1_DIST[label=1],2.5,2.5,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors FirstClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style first closest-neighbor centroid distance.
Neighbor / touching features,CLOSEST_NEIGHBOR1_DIST[label=2],2.54950975679639,2.5495097567963922,2.220446049250313e-15,8.709305949236432e-14,5.0,PASS,cp_measure.measureobjectneighbors FirstClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style first closest-neighbor centroid distance.
Neighbor / touching features,CLOSEST_NEIGHBOR1_DIST[label=3],2.54950975679639,2.5495097567963922,2.220446049250313e-15,8.709305949236432e-14,5.0,PASS,cp_measure.measureobjectneighbors FirstClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style first closest-neighbor centroid distance.
Neighbor / touching features,CLOSEST_NEIGHBOR1_DIST[label=4],2.5,2.5,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors FirstClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style first closest-neighbor centroid distance.
Neighbor / touching features,CLOSEST_NEIGHBOR1_DIST[label=5],2.54950975679639,2.5495097567963922,2.220446049250313e-15,8.709305949236432e-14,5.0,PASS,cp_measure.measureobjectneighbors FirstClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style first closest-neighbor centroid distance.
Neighbor / touching features,CLOSEST_NEIGHBOR2_DIST[label=1],2.54950975679639,2.5495097567963922,2.220446049250313e-15,8.709305949236432e-14,5.0,PASS,cp_measure.measureobjectneighbors SecondClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style second closest-neighbor distance. cp-measure reports a second nearest object even for labels with one adjacent neighbor; Nyxus stores 0 for those labels.
Neighbor / touching features,CLOSEST_NEIGHBOR2_DIST[label=2],0.0,2.8284271247461903,2.8284271247461903,inf,5.0,MISMATCH,cp_measure.measureobjectneighbors SecondClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style second closest-neighbor distance. cp-measure reports a second nearest object even for labels with one adjacent neighbor; Nyxus stores 0 for those labels.
Neighbor / touching features,CLOSEST_NEIGHBOR2_DIST[label=3],0.0,2.8284271247461903,2.8284271247461903,inf,5.0,MISMATCH,cp_measure.measureobjectneighbors SecondClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style second closest-neighbor distance. cp-measure reports a second nearest object even for labels with one adjacent neighbor; Nyxus stores 0 for those labels.
Neighbor / touching features,CLOSEST_NEIGHBOR2_DIST[label=4],0.0,3.2015621187164243,3.2015621187164243,inf,5.0,MISMATCH,cp_measure.measureobjectneighbors SecondClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style second closest-neighbor distance. cp-measure reports a second nearest object even for labels with one adjacent neighbor; Nyxus stores 0 for those labels.
Neighbor / touching features,CLOSEST_NEIGHBOR2_DIST[label=5],0.0,3.2015621187164243,3.2015621187164243,inf,5.0,MISMATCH,cp_measure.measureobjectneighbors SecondClosestDistance_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style second closest-neighbor distance. cp-measure reports a second nearest object even for labels with one adjacent neighbor; Nyxus stores 0 for those labels.
